Make,CO2 Emissions(g/km)
SMART,152.125
HONDA,190.92361111111111
FIAT,192.5185185185185
MAZDA,192.68
MINI,196.1657754010695
MITSUBISHI,199.70422535211267
SCION,200.8095238095238
VOLKSWAGEN,209.93333333333334
HYUNDAI,210.54970760233917
KIA,215.44505494505495
SUBARU,218.54464285714286
ACURA,222.02083333333334
TOYOTA,223.03571428571428
VOLVO,229.94915254237287
BUICK,233.74725274725276
ALFA ROMEO,236.3846153846154
NISSAN,237.10416666666666
LEXUS,242.12403100775194
CHRYSLER,243.7258064516129
JEEP,249.62765957446808
AUDI,252.31800766283524
BMW,252.70901639344262
INFINITI,253.95348837209303
PORSCHE,261.4824902723735
FORD,261.5914742451155
CHEVROLET,264.6699801192843
CADILLAC,266.36690647482015
LINCOLN,266.97435897435895
JAGUAR,273.13861386138615
DODGE,275.5629139072848
MERCEDES-BENZ,278.7292817679558
GENESIS,282.57142857142856
LAND ROVER,290.3013698630137
RAM,295.056338028169
GMC,301.91007194244605
MASERATI,319.61224489795916
ASTON MARTIN,344.28205128205127
BENTLEY,367.9142857142857
ROLLS-ROYCE,388.20454545454544
SRT,389.0
LAMBORGHINI,402.27027027027026
BUGATTI,522.0
