Make,Country,Continent
ACURA,USA,America
ALFA ROMEO,Italy,Europe
ASTON MARTIN,Great Britain,Europe
AUDI,Germany,Europe
BENTLEY,Great Britain,Europe
BMW,Germany,Europe
BUICK,USA,America
CADILLAC,USA,America
CHEVROLET,USA,America
CHRYSLER,USA,America
DODGE,USA,America
FIAT,Italy,Europe
FORD,USA,America
GMC,USA,America
HONDA,Japan,Asia
HYUNDAI,Korea,Asia
INFINITI,USA,America
JAGUAR,Great Britain,Europe
JEEP,USA,America
KIA,Korea,Asia
LAMBORGHINI,Italy,Europe
LAND ROVER,Great Britain,Europe
LEXUS,Japan,Asia
LINCOLN,USA,America
MASERATI,Italy,Europe
MAZDA,Japan,Asia
MERCEDES-BENZ,Germany,Europe
MINI,Great Britain,Europe
MITSUBISHI,Japan,Asia
NISSAN,Japan,Asia
PORSCHE,Germany,Europe
RAM,USA,America
ROLLS-ROYCE,Great Britain,Europe
SCION,Japan,Asia
SMART,Germany,Europe
SRT,USA,America
SUBARU,Japan,Asia
TOYOTA,Japan,Asia
VOLKSWAGEN,Germany,Europe
VOLVO,Sweden,Europe
GENESIS,USA,America
BUGATTI,Italy,Europe
